MUNICIPALITY OF ESTANCIA,,,,
,,,,
Year,Week,Cases,,
2019,52,5,,
2020,1,4,,
2020,2,4,,
2020,3,4,,
2020,4,4,,
2020,5,3,,
2020,6,2,,
2020,7,13,,
2020,8,6,,
2020,9,9,,
2020,10,11,,
2020,11,0,,
2020,12,2,,
2020,13,4,,
2020,14,2,,
2020,15,0,,
2020,16,3,,
2020,17,0,,
2020,18,2,,
2020,19,0,,
2020,20,1,,
2020,21,0,,
2020,22,0,,
2020,23,1,,
2020,24,2,,
2020,25,0,,
2020,26,0,,
2020,27,1,,
2020,28,0,,
2020,29,1,,
2020,30,0,,
2020,31,0,,
2020,32,1,,
2020,33,0,,
2020,34,0,,
2020,35,0,,
2020,36,0,,
2020,37,0,,
2020,38,0,,
2020,39,0,,
2020,40,0,,
2020,41,0,,
2020,42,0,,
2020,43,0,,
2020,44,1,,
2020,45,0,,
2020,46,0,,
2020,47,0,,
2020,48,1,,
2020,49,0,,
2020,50,0,,
2020,51,1,,
2020,52,1,,
2021,1,2,,
2021,2,0,,
2021,3,0,,
2021,4,0,,
2021,5,0,,
2021,6,0,,
2021,7,1,,
2021,8,2,,
2021,9,0,,
2021,10,2,,
2021,11,3,,
2021,12,0,,
2021,13,2,,
2021,14,4,,
2021,15,3,,
2021,16,3,,
2021,17,0,,
2021,18,1,,
2021,19,0,,
2021,20,0,,
2021,21,0,,
2021,22,0,,
2021,23,0,,
2021,24,0,,
2021,25,0,,
2021,26,0,,
2021,27,0,,
2021,28,0,,
2021,29,0,,
2021,30,1,,
2021,31,0,,
2021,32,0,,
2021,33,0,,
2021,34,0,,
2021,35,0,,
2021,36,0,,
2021,37,1,,
2021,38,0,,
2021,39,1,,
2021,40,0,,
2021,41,1,,
2021,42,0,,
2021,43,1,,
2021,44,0,,
2021,45,3,,
2021,46,0,,
2021,47,0,,
2021,48,3,,
2021,49,0,,
2021,50,0,,
2021,51,0,,
2021,52,0,,
2022,1,1,,
2022,2,0,,
2022,3,1,,
2022,4,1,,
2022,5,0,,
2022,6,0,,
2022,7,0,,
2022,8,2,,
2022,9,0,,
2022,10,0,,
2022,11,0,,
2022,12,0,,
2022,13,0,,
2022,14,3,,
2022,15,3,,
2022,16,3,,
2022,17,2,,
2022,18,1,,
2022,19,1,,
2022,20,1,,
2022,21,1,,
2022,22,2,,
2022,23,0,,
2022,24,1,,
2022,25,1,,
2022,26,2,,
2022,27,4,,
2022,28,1,,
2022,29,1,,
2022,30,1,,
2022,31,5,,
2022,32,2,,
2022,33,2,,
2022,34,1,,
2022,35,0,,
2022,36,1,,
2022,37,3,,
2022,38,1,,
2022,39,2,,
2022,40,1,,
2022,41,0,,
2022,42,1,,
2022,43,3,,
2022,44,1,,
2022,45,0,,
2022,46,0,,
2022,47,2,,
2022,48,3,,
2022,49,2,,
2022,50,1,,
2022,51,0,,
2022,52,0,,
2023,1,15,,
2023,2,2,,
2023,3,3,,
2023,4,1,,
2023,5,1,,
2023,6,0,,
2023,7,0,,
2023,8,0,,
2023,9,0,,
2023,10,2,,
2023,11,1,,
2023,12,1,,
2023,13,1,,
2023,14,0,,
2023,15,1,,
2023,16,1,,
2023,17,2,,
2023,18,1,,
2023,19,0,,
2023,20,2,,
2023,21,1,,
2023,22,0,,
2023,23,0,,
2023,24,0,,
2023,25,0,,
2023,26,0,,
2023,27,1,,
2023,28,0,,
2023,29,0,,
2023,30,0,,
2023,31,0,,
2023,32,0,,
2023,33,0,,
2023,34,0,,
2023,35,0,,
2023,36,0,,
2023,37,0,,
2023,38,0,,
2023,39,2,,
2023,40,2,,
2023,41,0,,
2023,42,0,,
2023,43,1,,
2023,44,2,,
2023,45,2,,
2023,46,0,,
2023,47,2,,
2023,48,2,,
2023,49,1,,
2023,50,1,,
2023,51,0,,
2023,52,0,,
2024,1,1,,
2024,2,3,,
2024,3,2,,
2024,4,3,,
2024,5,1,,
2024,6,4,,
2024,7,0,,
2024,8,0,,
2024,9,0,,
2024,10,5,,
2024,11,2,,
2024,12,2,,
2024,13,2,,
2024,14,2,,
2024,15,1,,
2024,16,4,,
2024,17,1,,
2024,18,1,,
2024,19,1,,
2024,20,2,,
2024,21,1,,
2024,22,0,,
2024,23,3,,
2024,24,1,,
2024,25,0,,
2024,26,2,,
2024,27,2,,
2024,28,5,,
2024,29,3,,
2024,30,8,,
2024,31,8,,
2024,32,6,,
2024,33,10,,
2024,34,10,,
2024,35,6,,
2024,36,3,,
2024,37,6,,
2024,38,7,,
2024,39,5,,
2024,40,5,,
2024,41,3,,
2024,42,3,,
2024,43,2,,
2024,44,9,,
2024,45,7,,
2024,46,6,,
2024,47,9,,
2024,48,3,,
2024,49,6,,
2024,50,2,,
2024,51,5,,
2024,52,4,,
