Municipality of Pototan,,
,,
Year,Week,Cases
2024,34,13
2024,35,10
2024,36,11
2024,37,8
2024,38,9
2024,39,2
2024,40,1
2024,41,0
2024,42,2
2024,43,1
2024,44,1
2024,45,0
2024,46,1
2024,47,0
2024,48,2
2024,49,2
2024,50,2
2024,51,1
2024,52,1
