MUNICIPALITY OF DUMANGAS,,,,,,
,,,,,,
Year,Week,Cases,,,,
2023,20,0,,,,
2023,21,0,,,,
2023,22,2,,,,
2023,23,1,,,,
2023,24,1,,,,
2023,25,1,,,,
2023,26,1,,,,
2023,27,2,,,,
2023,28,2,,,,
2023,29,5,,,,
2023,30,2,,,,
2023,31,3,,,,
2023,32,2,,,,
2023,33,2,,,,
2023,34,1,,,,
2023,35,0,,,,
2023,36,1,,,,
2023,37,1,,,,
2023,38,0,,,,
2023,39,0,,,,
2023,40,3,,,,
2023,41,1,,,,
2023,42,2,,,,
2023,43,8,,,,
2023,44,5,,,,
2023,45,1,,,,
2023,46,2,,,,
2023,47,3,,,,
2023,48,2,,,,
2023,49,1,,,,
2023,50,2,,,,
2023,51,0,,,,
2023,52,0,,,,
2024,1,2,,,,
2024,2,0,,,,
2024,3,2,,,,
2024,4,3,,,,
2024,5,1,,,,
2024,6,6,,,,
2024,7,1,,,,
2024,8,2,,,,
2024,9,4,,,,
2024,10,2,,,,
2024,11,2,,,,
2024,12,0,,,,
2024,13,0,,,,
2024,14,1,,,,
2024,15,0,,,,
2024,16,0,,,,
2024,17,0,,,,
2024,18,2,,,,
2024,19,0,,,,
2024,20,3,,,,
2024,21,2,,,,
2024,22,4,,,,
2024,23,0,,,,
2024,24,3,,,,
2024,25,9,,,,
2024,26,7,,,,
2024,27,24,,,,
2024,28,27,,,,
2024,29,38,,,,
2024,30,23,,,,
2024,31,32,,,,
2024,32,32,,,,
2024,33,43,,,,
2024,34,29,,,,
2024,35,21,,,,
2024,36,9,,,,
2024,37,6,,,,
2024,38,5,,,,
2024,39,9,,,,
2024,40,3,,,,
2024,41,2,,,,
2024,42,1,,,,
2024,43,3,,,,
2024,44,4,,,,
2024,45,6,,,,
2024,46,0,,,,
2024,47,4,,,,
2024,48,2,,,,
2024,49,7,,,,
2024,50,6,,,,
2024,51,2,,,,
2024,52,5,,,,
