,week,dt,Cases,temp,feels_like,pressure,humidity,precipitation
45,2022-46,2022-11-12,7.0,303.42,311.0,1008.0,71.0,0.0
46,2022-47,2022-11-19,10.0,299.13,305.98,1008.0,86.0,0.56
47,2022-48,2022-11-26,18.0,302.65,312.24,1011.0,68.0,0.0
48,2022-49,2022-12-03,12.0,302.46,311.27,1008.0,74.0,0.0
49,2022-50,2022-12-10,6.0,300.72,305.9,1006.0,81.0,19.25
50,2022-51,2022-12-17,7.0,302.79,311.28,1008.0,67.0,0.0
51,2022-52,2022-12-24,4.0,299.46,302.45,1007.0,81.0,0.14
52,2023-1,2023-01-01,18.0,302.21,309.42,1011.0,71.0,2.5
53,2023-2,2023-01-08,8.0,298.88,303.56,1013.0,76.0,2.0
54,2023-3,2023-01-15,19.0,300.47,306.47,1006.0,80.0,0.0
55,2023-4,2023-01-22,12.0,301.25,307.05,1009.0,72.0,2.64
56,2023-5,2023-01-29,17.0,300.78,304.93,1009.0,75.0,0.96
57,2023-6,2023-02-05,19.0,302.35,308.35,1009.0,65.0,0.0
58,2023-7,2023-02-12,21.0,302.16,308.55,1011.0,60.0,0.0
59,2023-8,2023-02-19,11.0,300.89,306.1,1007.0,76.0,0.0
60,2023-9,2023-02-26,11.0,302.83,311.15,1012.0,63.0,0.0
61,2023-10,2023-03-05,6.0,301.24,304.9,1013.0,69.0,0.15
62,2023-11,2023-03-12,8.0,302.38,306.47,1011.0,55.0,0.0
63,2023-12,2023-03-19,15.0,303.04,309.73,1011.0,63.0,0.0
64,2023-13,2023-03-26,11.0,304.74,312.19,1009.0,57.0,0.0
65,2023-14,2023-04-02,12.0,304.39,311.34,1009.0,59.0,0.0
66,2023-15,2023-04-09,11.0,303.13,309.19,1011.0,62.0,0.0
67,2023-16,2023-04-16,11.0,303.94,311.1,1008.0,61.0,0.0
68,2023-17,2023-04-23,15.0,305.91,313.46,1009.0,57.0,0.0
69,2023-18,2023-04-30,17.0,306.03,311.63,1007.0,56.0,2.27
70,2023-19,2023-05-07,15.0,304.42,311.92,1007.0,63.0,1.15
71,2023-20,2023-05-14,6.0,305.11,312.64,1010.0,58.0,0.0
72,2023-21,2023-05-21,17.0,303.53,309.91,1011.0,66.0,0.0
73,2023-22,2023-05-28,12.0,304.22,307.89,1006.0,65.0,0.0
